Transaction ID,Date,Time,Product ID,Customer ID,Quantity,Price (Rupees)
TRANS-05001,04-10-2023,,PROD-087,5478,6,30
TRANS-05002,04-10-2023,,PROD-111,1725,4,720
TRANS-05003,04-10-2023,,PROD-046,7817,1,10
TRANS-05004,04-10-2023,,PROD-016,5811,4,100
TRANS-05005,04-10-2023,,PROD-040,7021,1,35
TRANS-05006,04-10-2023,,PROD-100,13780,2,80
TRANS-05007,04-10-2023,,PROD-078,377,3,210
TRANS-05008,04-10-2023,,PROD-098,5459,4,40
TRANS-05009,04-10-2023,,PROD-041,8965,2,10
TRANS-05010,04-10-2023,,PROD-072,3936,1,15
TRANS-05011,04-10-2023,,PROD-100,4961,4,160
TRANS-05012,04-10-2023,,PROD-130,11377,2,60
TRANS-05013,04-10-2023,,PROD-063,4233,5,200
TRANS-05014,04-10-2023,,PROD-111,4753,4,720
TRANS-05015,04-10-2023,,PROD-084,6179,5,50
TRANS-05016,04-10-2023,,PROD-124,5143,6,240
TRANS-05017,04-10-2023,,PROD-015,12158,5,400
TRANS-05018,04-10-2023,,PROD-026,7101,6,60
TRANS-05019,04-10-2023,,PROD-047,5156,1,25
TRANS-05020,04-10-2023,,PROD-063,13448,3,120
TRANS-05021,04-10-2023,,PROD-057,10943,1,25
TRANS-05022,04-10-2023,,PROD-030,873,4,600
TRANS-05023,04-10-2023,,PROD-124,1873,5,200
TRANS-05024,04-10-2023,,PROD-128,13727,3,180
TRANS-05025,04-10-2023,,PROD-072,8381,1,15
TRANS-05026,05-10-2023,,PROD-046,10264,5,50
TRANS-05027,05-10-2023,,PROD-084,8587,2,20
TRANS-05028,05-10-2023,,PROD-005,13912,6,60
TRANS-05029,05-10-2023,,PROD-044,2536,2,80
TRANS-05030,05-10-2023,,PROD-026,6992,4,40
TRANS-05031,05-10-2023,,PROD-029,5850,3,210
TRANS-05032,05-10-2023,,PROD-010,6569,5,500
TRANS-05033,05-10-2023,,PROD-137,7077,3,240
TRANS-05034,05-10-2023,,PROD-039,3377,2,20
TRANS-05035,05-10-2023,,PROD-152,2656,2,120
TRANS-05036,05-10-2023,,PROD-136,10630,6,150
TRANS-05037,05-10-2023,,PROD-008,8510,6,360
TRANS-05038,05-10-2023,,PROD-075,11342,3,45
TRANS-05039,05-10-2023,,PROD-004,5321,5,200
TRANS-05040,05-10-2023,,PROD-018,4328,4,240
TRANS-05041,05-10-2023,,PROD-110,5313,4,80
TRANS-05042,05-10-2023,,PROD-034,9660,6,90
TRANS-05043,05-10-2023,,PROD-093,3420,2,20
TRANS-05044,05-10-2023,,PROD-057,3793,3,75
TRANS-05045,05-10-2023,,PROD-026,2450,5,50
TRANS-05046,05-10-2023,,PROD-130,5996,4,120
TRANS-05047,05-10-2023,,PROD-020,6315,4,40
TRANS-05048,06-10-2023,,PROD-013,5335,4,280
TRANS-05049,06-10-2023,,PROD-156,10430,6,90
TRANS-05050,06-10-2023,,PROD-086,1641,5,50
TRANS-05051,06-10-2023,,PROD-148,3739,3,105
TRANS-05052,06-10-2023,,PROD-062,1055,1,25
TRANS-05053,06-10-2023,,PROD-092,13542,2,50
TRANS-05054,06-10-2023,,PROD-056,10199,1,70
TRANS-05055,06-10-2023,,PROD-029,12383,2,140
TRANS-05056,06-10-2023,,PROD-097,13073,3,45
TRANS-05057,06-10-2023,,PROD-056,11249,2,140
TRANS-05058,06-10-2023,,PROD-106,3621,4,200
TRANS-05059,06-10-2023,,PROD-090,12994,2,20
TRANS-05060,06-10-2023,,PROD-142,10676,6,180
TRANS-05061,06-10-2023,,PROD-104,10371,2,20
TRANS-05062,06-10-2023,,PROD-047,4320,5,125
TRANS-05063,06-10-2023,,PROD-122,5601,4,40
TRANS-05064,06-10-2023,,PROD-118,8082,4,800
TRANS-05065,06-10-2023,,PROD-095,8306,6,90
TRANS-05066,06-10-2023,,PROD-095,1700,1,15
TRANS-05067,06-10-2023,,PROD-118,1710,5,1000
TRANS-05068,06-10-2023,,PROD-082,4216,3,180
TRANS-05069,06-10-2023,,PROD-085,6300,3,45
TRANS-05070,06-10-2023,,PROD-108,13707,6,180
TRANS-05071,06-10-2023,,PROD-065,13835,2,40
TRANS-05072,06-10-2023,,PROD-100,4549,3,120
TRANS-05073,06-10-2023,,PROD-137,778,5,400
TRANS-05074,07-10-2023,,PROD-101,13782,4,120
TRANS-05075,07-10-2023,,PROD-125,3918,4,120
TRANS-05076,07-10-2023,,PROD-055,22,2,40
TRANS-05077,07-10-2023,,PROD-038,4392,4,100
TRANS-05078,07-10-2023,,PROD-150,4374,6,720
TRANS-05079,07-10-2023,,PROD-078,2642,6,420
TRANS-05080,07-10-2023,,PROD-021,3121,6,600
TRANS-05081,07-10-2023,,PROD-088,13413,4,120
TRANS-05082,07-10-2023,,PROD-002,10992,4,120
TRANS-05083,07-10-2023,,PROD-115,8868,2,30
TRANS-05084,07-10-2023,,PROD-041,478,1,5
TRANS-05085,07-10-2023,,PROD-134,3364,2,70
TRANS-05086,07-10-2023,,PROD-032,12929,1,5
TRANS-05087,07-10-2023,,PROD-049,8503,1,25
TRANS-05088,07-10-2023,,PROD-123,7223,4,60
TRANS-05089,07-10-2023,,PROD-154,8082,1,25
TRANS-05090,07-10-2023,,PROD-010,2350,4,400
TRANS-05091,07-10-2023,,PROD-055,13691,4,80
TRANS-05092,07-10-2023,,PROD-035,3127,1,5
TRANS-05093,07-10-2023,,PROD-107,11405,5,375
TRANS-05094,07-10-2023,,PROD-031,13396,1,40
TRANS-05095,07-10-2023,,PROD-012,4814,3,60
TRANS-05096,08-10-2023,,PROD-081,2622,1,30
TRANS-05097,08-10-2023,,PROD-035,1129,4,20
TRANS-05098,08-10-2023,,PROD-078,10010,6,420
TRANS-05099,08-10-2023,,PROD-113,9996,1,10
TRANS-05100,08-10-2023,,PROD-070,4478,6,150
TRANS-05101,08-10-2023,,PROD-027,13334,2,60
TRANS-05102,08-10-2023,,PROD-048,402,4,800
TRANS-05103,08-10-2023,,PROD-133,2478,3,135
TRANS-05104,08-10-2023,,PROD-017,7622,5,75
TRANS-05105,08-10-2023,,PROD-149,13370,3,120
TRANS-05106,08-10-2023,,PROD-056,8980,2,140
TRANS-05107,08-10-2023,,PROD-006,10299,5,25
TRANS-05108,08-10-2023,,PROD-144,7295,5,200
TRANS-05109,08-10-2023,,PROD-065,10068,5,100
TRANS-05110,08-10-2023,,PROD-156,1723,2,30
TRANS-05111,08-10-2023,,PROD-052,6437,5,150
TRANS-05112,08-10-2023,,PROD-044,11910,3,120
TRANS-05113,08-10-2023,,PROD-107,5559,1,75
TRANS-05114,08-10-2023,,PROD-057,11036,1,25
TRANS-05115,08-10-2023,,PROD-022,13172,4,60
TRANS-05116,08-10-2023,,PROD-065,7825,2,40
TRANS-05117,08-10-2023,,PROD-006,10754,2,10
TRANS-05118,08-10-2023,,PROD-095,5277,2,30
TRANS-05119,09-10-2023,,PROD-020,12231,3,30
TRANS-05120,09-10-2023,,PROD-039,765,2,20
TRANS-05121,09-10-2023,,PROD-087,6315,3,15
TRANS-05122,09-10-2023,,PROD-086,11684,3,30
TRANS-05123,09-10-2023,,PROD-134,4697,5,175
TRANS-05124,09-10-2023,,PROD-028,8730,2,30
TRANS-05125,09-10-2023,,PROD-125,10012,2,60
TRANS-05126,09-10-2023,,PROD-004,2718,6,240
TRANS-05127,09-10-2023,,PROD-057,11950,6,150
TRANS-05128,09-10-2023,,PROD-005,5132,5,50
TRANS-05129,09-10-2023,,PROD-129,10454,2,500
TRANS-05130,09-10-2023,,PROD-006,539,3,15
TRANS-05131,09-10-2023,,PROD-088,857,6,180
TRANS-05132,09-10-2023,,PROD-056,5146,2,140
TRANS-05133,09-10-2023,,PROD-061,2020,1,40
TRANS-05134,09-10-2023,,PROD-127,2159,2,40
TRANS-05135,09-10-2023,,PROD-040,6960,6,210
TRANS-05136,09-10-2023,,PROD-130,11133,3,90
TRANS-05137,09-10-2023,,PROD-093,11460,6,60
TRANS-05138,09-10-2023,,PROD-009,7095,4,80
TRANS-05139,09-10-2023,,PROD-042,436,4,40
TRANS-05140,09-10-2023,,PROD-028,4402,5,75
TRANS-05141,09-10-2023,,PROD-096,9556,3,60
TRANS-05142,09-10-2023,,PROD-145,8870,4,60
TRANS-05143,09-10-2023,,PROD-041,2735,2,10
TRANS-05144,09-10-2023,,PROD-059,7638,2,240
TRANS-05145,09-10-2023,,PROD-088,2124,2,60
TRANS-05146,09-10-2023,,PROD-092,4346,1,25
TRANS-05147,09-10-2023,,PROD-128,9295,4,240
TRANS-05148,09-10-2023,,PROD-005,8951,4,40
TRANS-05149,10-10-2023,,PROD-151,5399,1,70
TRANS-05150,10-10-2023,,PROD-067,8904,4,140
TRANS-05151,10-10-2023,,PROD-017,5976,4,60
TRANS-05152,10-10-2023,,PROD-026,13902,6,60
TRANS-05153,10-10-2023,,PROD-032,74,6,30
TRANS-05154,10-10-2023,,PROD-032,10259,5,25
TRANS-05155,10-10-2023,,PROD-126,1834,6,150
TRANS-05156,10-10-2023,,PROD-073,12472,5,100
TRANS-05157,10-10-2023,,PROD-145,12655,5,75
TRANS-05158,10-10-2023,,PROD-004,1758,6,240
TRANS-05159,10-10-2023,,PROD-112,3455,2,120
TRANS-05160,10-10-2023,,PROD-146,523,1,25
TRANS-05161,10-10-2023,,PROD-034,3194,4,60
TRANS-05162,10-10-2023,,PROD-020,10364,2,20
TRANS-05163,10-10-2023,,PROD-083,2623,2,40
TRANS-05164,10-10-2023,,PROD-083,5847,6,120
TRANS-05165,10-10-2023,,PROD-156,2911,3,45
TRANS-05166,10-10-2023,,PROD-127,2913,4,80
TRANS-05167,10-10-2023,,PROD-087,12147,5,25
TRANS-05168,10-10-2023,,PROD-001,12353,2,100
TRANS-05169,10-10-2023,,PROD-078,8607,5,350
TRANS-05170,10-10-2023,,PROD-155,11462,2,80
TRANS-05171,10-10-2023,,PROD-047,5874,2,50
TRANS-05172,10-10-2023,,PROD-144,7545,4,160
TRANS-05173,10-10-2023,,PROD-141,8937,4,720
TRANS-05174,10-10-2023,,PROD-128,6148,1,60
TRANS-05175,10-10-2023,,PROD-047,4837,5,125
TRANS-05176,11-10-2023,,PROD-087,2474,2,10
TRANS-05177,11-10-2023,,PROD-142,9409,1,30
TRANS-05178,11-10-2023,,PROD-061,7763,1,40
TRANS-05179,11-10-2023,,PROD-032,6067,5,25
TRANS-05180,11-10-2023,,PROD-116,4994,2,16
TRANS-05181,11-10-2023,,PROD-084,13126,4,40
TRANS-05182,11-10-2023,,PROD-147,5879,5,100
TRANS-05183,11-10-2023,,PROD-109,4665,6,900
TRANS-05184,11-10-2023,,PROD-031,3843,5,200
TRANS-05185,11-10-2023,,PROD-066,5350,6,180
TRANS-05186,11-10-2023,,PROD-005,3394,6,60
TRANS-05187,11-10-2023,,PROD-022,13834,1,15
TRANS-05188,11-10-2023,,PROD-078,6014,1,70
TRANS-05189,11-10-2023,,PROD-007,4303,1,150
TRANS-05190,11-10-2023,,PROD-149,8092,3,120
TRANS-05191,11-10-2023,,PROD-076,8483,1,25
TRANS-05192,11-10-2023,,PROD-083,2446,2,40
TRANS-05193,11-10-2023,,PROD-134,6490,3,105
TRANS-05194,11-10-2023,,PROD-077,1634,4,40
TRANS-05195,11-10-2023,,PROD-057,2538,4,100
TRANS-05196,11-10-2023,,PROD-076,12304,4,100
TRANS-05197,11-10-2023,,PROD-123,421,2,30
TRANS-05198,11-10-2023,,PROD-104,12686,2,20
TRANS-05199,11-10-2023,,PROD-114,12961,6,30
TRANS-05200,11-10-2023,,PROD-030,6488,1,150
TRANS-05201,11-10-2023,,PROD-030,3080,2,300
TRANS-05202,11-10-2023,,PROD-008,2239,2,120
TRANS-05203,11-10-2023,,PROD-003,179,4,320
TRANS-05204,12-10-2023,,PROD-042,5678,5,50
TRANS-05205,12-10-2023,,PROD-076,5688,3,75
TRANS-05206,12-10-2023,,PROD-022,7643,4,60
TRANS-05207,12-10-2023,,PROD-014,12420,3,120
TRANS-05208,12-10-2023,,PROD-091,2734,1,10
TRANS-05209,12-10-2023,,PROD-114,10347,6,30
TRANS-05210,12-10-2023,,PROD-060,1625,4,720
TRANS-05211,12-10-2023,,PROD-128,9636,2,120
TRANS-05212,12-10-2023,,PROD-011,4210,5,150
TRANS-05213,12-10-2023,,PROD-115,5774,2,30
TRANS-05214,12-10-2023,,PROD-055,8144,1,20
TRANS-05215,12-10-2023,,PROD-153,10492,1,30
TRANS-05216,12-10-2023,,PROD-134,11152,1,35
TRANS-05217,12-10-2023,,PROD-060,6784,2,360
TRANS-05218,12-10-2023,,PROD-062,4577,6,150
TRANS-05219,12-10-2023,,PROD-036,11003,6,120
TRANS-05220,12-10-2023,,PROD-048,8534,4,800
TRANS-05221,12-10-2023,,PROD-130,3875,5,150
TRANS-05222,12-10-2023,,PROD-109,1481,3,450
TRANS-05223,12-10-2023,,PROD-112,7394,4,240
TRANS-05224,12-10-2023,,PROD-018,5688,2,120
TRANS-05225,12-10-2023,,PROD-088,10091,2,60
TRANS-05226,13-10-2023,,PROD-061,4577,3,120
TRANS-05227,13-10-2023,,PROD-030,825,6,900
TRANS-05228,13-10-2023,,PROD-013,10869,4,280
TRANS-05229,13-10-2023,,PROD-148,8229,1,35
TRANS-05230,13-10-2023,,PROD-040,3357,5,175
TRANS-05231,13-10-2023,,PROD-133,10928,5,225
TRANS-05232,13-10-2023,,PROD-035,1669,5,25
TRANS-05233,13-10-2023,,PROD-105,5210,3,180
TRANS-05234,13-10-2023,,PROD-145,7881,6,90
TRANS-05235,13-10-2023,,PROD-064,3402,1,10
TRANS-05236,13-10-2023,,PROD-087,12532,6,30
TRANS-05237,13-10-2023,,PROD-098,4746,2,20
TRANS-05238,13-10-2023,,PROD-025,8941,1,50
TRANS-05239,13-10-2023,,PROD-100,3625,1,40
TRANS-05240,13-10-2023,,PROD-048,3107,4,800
TRANS-05241,13-10-2023,,PROD-086,7317,6,60
TRANS-05242,13-10-2023,,PROD-060,6090,6,1080
TRANS-05243,13-10-2023,,PROD-139,173,6,150
TRANS-05244,13-10-2023,,PROD-036,8693,5,100
TRANS-05245,13-10-2023,,PROD-002,2020,4,120
TRANS-05246,13-10-2023,,PROD-044,7901,5,200
TRANS-05247,14-10-2023,,PROD-144,11497,2,80
TRANS-05248,14-10-2023,,PROD-131,11583,1,40
TRANS-05249,14-10-2023,,PROD-147,8321,1,20
TRANS-05250,14-10-2023,,PROD-127,2227,2,40
TRANS-05251,14-10-2023,,PROD-089,8456,6,90
TRANS-05252,14-10-2023,,PROD-151,13361,3,210
TRANS-05253,14-10-2023,,PROD-081,6812,5,150
TRANS-05254,14-10-2023,,PROD-016,7095,6,150
TRANS-05255,14-10-2023,,PROD-009,11440,5,100
TRANS-05256,14-10-2023,,PROD-066,7336,1,30
TRANS-05257,14-10-2023,,PROD-060,325,1,180
TRANS-05258,14-10-2023,,PROD-039,13867,6,60
TRANS-05259,14-10-2023,,PROD-139,3296,4,100
TRANS-05260,14-10-2023,,PROD-036,12880,2,40
TRANS-05261,14-10-2023,,PROD-065,2308,1,20
TRANS-05262,14-10-2023,,PROD-077,11654,1,10
TRANS-05263,14-10-2023,,PROD-045,771,5,250
TRANS-05264,14-10-2023,,PROD-063,13969,6,240
TRANS-05265,14-10-2023,,PROD-093,5307,5,50
TRANS-05266,14-10-2023,,PROD-007,954,5,750
TRANS-05267,14-10-2023,,PROD-080,957,3,120
TRANS-05268,14-10-2023,,PROD-025,1077,3,150
TRANS-05269,14-10-2023,,PROD-042,4151,5,50
TRANS-05270,14-10-2023,,PROD-152,6247,4,240
TRANS-05271,14-10-2023,,PROD-009,12920,3,60
TRANS-05272,14-10-2023,,PROD-131,8039,4,160
TRANS-05273,15-10-2023,,PROD-102,9635,3,60
TRANS-05274,15-10-2023,,PROD-111,1004,4,720
TRANS-05275,15-10-2023,,PROD-151,13736,4,280
TRANS-05276,15-10-2023,,PROD-128,9176,1,60
TRANS-05277,15-10-2023,,PROD-130,4782,2,60
TRANS-05278,15-10-2023,,PROD-129,2541,1,250
TRANS-05279,15-10-2023,,PROD-028,1586,5,75
TRANS-05280,15-10-2023,,PROD-107,10089,6,450
TRANS-05281,15-10-2023,,PROD-039,199,5,50
TRANS-05282,15-10-2023,,PROD-048,2629,6,1200
TRANS-05283,15-10-2023,,PROD-146,1952,6,150
TRANS-05284,15-10-2023,,PROD-057,11480,4,100
TRANS-05285,15-10-2023,,PROD-051,124,1,20
TRANS-05286,15-10-2023,,PROD-143,5525,3,150
TRANS-05287,15-10-2023,,PROD-012,13935,3,60
TRANS-05288,15-10-2023,,PROD-047,12099,4,100
TRANS-05289,15-10-2023,,PROD-096,4833,2,40
TRANS-05290,15-10-2023,,PROD-144,6669,3,120
TRANS-05291,15-10-2023,,PROD-143,251,6,300
TRANS-05292,15-10-2023,,PROD-036,2850,1,20
TRANS-05293,15-10-2023,,PROD-040,7014,4,140
TRANS-05294,15-10-2023,,PROD-116,13950,3,24
TRANS-05295,15-10-2023,,PROD-144,12526,6,240
TRANS-05296,15-10-2023,,PROD-002,12580,4,120
TRANS-05297,15-10-2023,,PROD-032,6583,6,30
TRANS-05298,16-10-2023,,PROD-061,2892,6,240
TRANS-05299,16-10-2023,,PROD-121,13988,6,300
TRANS-05300,16-10-2023,,PROD-117,3137,6,150
TRANS-05301,16-10-2023,,PROD-155,706,1,40
TRANS-05302,16-10-2023,,PROD-062,13220,6,150
TRANS-05303,16-10-2023,,PROD-017,12385,4,60
TRANS-05304,16-10-2023,,PROD-071,6116,2,80
TRANS-05305,16-10-2023,,PROD-117,339,4,100
TRANS-05306,16-10-2023,,PROD-144,1311,5,200
TRANS-05307,16-10-2023,,PROD-127,11404,3,60
TRANS-05308,16-10-2023,,PROD-122,12057,1,10
TRANS-05309,16-10-2023,,PROD-033,3196,6,60
TRANS-05310,16-10-2023,,PROD-027,2115,4,120
TRANS-05311,16-10-2023,,PROD-071,5609,1,40
TRANS-05312,16-10-2023,,PROD-016,8047,3,75
TRANS-05313,16-10-2023,,PROD-033,4812,5,50
TRANS-05314,16-10-2023,,PROD-117,4693,6,150
TRANS-05315,16-10-2023,,PROD-002,13566,3,90
TRANS-05316,16-10-2023,,PROD-062,11607,1,25
TRANS-05317,16-10-2023,,PROD-078,714,4,280
TRANS-05318,16-10-2023,,PROD-140,3752,4,600
TRANS-05319,16-10-2023,,PROD-120,5676,4,48
TRANS-05320,16-10-2023,,PROD-088,1254,5,150
TRANS-05321,16-10-2023,,PROD-019,12264,3,360
TRANS-05322,16-10-2023,,PROD-025,12334,4,200
TRANS-05323,16-10-2023,,PROD-003,3894,3,240
TRANS-05324,17-10-2023,,PROD-134,4865,3,105
TRANS-05325,17-10-2023,,PROD-132,7074,1,20
TRANS-05326,17-10-2023,,PROD-118,9417,4,800
TRANS-05327,17-10-2023,,PROD-020,7557,1,10
TRANS-05328,17-10-2023,,PROD-008,11236,1,60
TRANS-05329,17-10-2023,,PROD-053,12497,4,60
TRANS-05330,17-10-2023,,PROD-079,2540,3,60
TRANS-05331,17-10-2023,,PROD-075,12130,1,15
TRANS-05332,17-10-2023,,PROD-041,10114,6,30
TRANS-05333,17-10-2023,,PROD-060,10202,6,1080
TRANS-05334,17-10-2023,,PROD-123,11525,3,45
TRANS-05335,17-10-2023,,PROD-143,9823,4,200
TRANS-05336,17-10-2023,,PROD-060,3015,2,360
TRANS-05337,17-10-2023,,PROD-058,13861,1,30
TRANS-05338,17-10-2023,,PROD-067,7594,1,35
TRANS-05339,17-10-2023,,PROD-139,1549,3,75
TRANS-05340,17-10-2023,,PROD-013,11408,5,350
TRANS-05341,17-10-2023,,PROD-071,796,5,200
TRANS-05342,17-10-2023,,PROD-140,11354,6,900
TRANS-05343,17-10-2023,,PROD-018,8684,2,120
TRANS-05344,17-10-2023,,PROD-090,3239,2,20
TRANS-05345,17-10-2023,,PROD-050,5724,6,90
TRANS-05346,17-10-2023,,PROD-032,13497,6,30
TRANS-05347,17-10-2023,,PROD-059,12865,4,480
TRANS-05348,17-10-2023,,PROD-122,11930,4,40
TRANS-05349,17-10-2023,,PROD-153,11056,2,60
TRANS-05350,18-10-2023,,PROD-017,12061,4,60
TRANS-05351,18-10-2023,,PROD-123,8230,6,90
TRANS-05352,18-10-2023,,PROD-127,11202,5,100
TRANS-05353,18-10-2023,,PROD-096,515,4,80
TRANS-05354,18-10-2023,,PROD-057,2723,4,100
TRANS-05355,18-10-2023,,PROD-037,1020,5,150
TRANS-05356,18-10-2023,,PROD-043,8457,4,120
TRANS-05357,18-10-2023,,PROD-102,9461,5,100
TRANS-05358,18-10-2023,,PROD-073,4316,5,100
TRANS-05359,18-10-2023,,PROD-032,13788,2,10
TRANS-05360,18-10-2023,,PROD-027,9259,2,60
TRANS-05361,18-10-2023,,PROD-098,7218,3,30
TRANS-05362,18-10-2023,,PROD-074,813,1,30
TRANS-05363,18-10-2023,,PROD-081,8306,5,150
TRANS-05364,18-10-2023,,PROD-007,11700,3,450
TRANS-05365,18-10-2023,,PROD-112,8568,3,180
TRANS-05366,18-10-2023,,PROD-103,6617,6,150
TRANS-05367,18-10-2023,,PROD-145,12810,6,90
TRANS-05368,18-10-2023,,PROD-042,13721,5,50
TRANS-05369,18-10-2023,,PROD-134,8031,6,210
TRANS-05370,18-10-2023,,PROD-027,13104,1,30
TRANS-05371,19-10-2023,,PROD-093,2272,6,60
TRANS-05372,19-10-2023,,PROD-132,2832,3,60
TRANS-05373,19-10-2023,,PROD-076,7819,6,150
TRANS-05374,19-10-2023,,PROD-108,1066,4,120
TRANS-05375,19-10-2023,,PROD-066,3207,2,60
TRANS-05376,19-10-2023,,PROD-053,4142,3,45
TRANS-05377,19-10-2023,,PROD-004,1194,3,120
TRANS-05378,19-10-2023,,PROD-025,3625,6,300
TRANS-05379,19-10-2023,,PROD-045,4791,1,50
TRANS-05380,19-10-2023,,PROD-047,13871,5,125
TRANS-05381,19-10-2023,,PROD-007,2069,4,600
TRANS-05382,19-10-2023,,PROD-026,5145,5,50
TRANS-05383,19-10-2023,,PROD-147,13757,5,100
TRANS-05384,19-10-2023,,PROD-008,8444,5,300
TRANS-05385,19-10-2023,,PROD-113,12722,1,10
TRANS-05386,19-10-2023,,PROD-052,7064,2,60
TRANS-05387,19-10-2023,,PROD-085,7725,3,45
TRANS-05388,19-10-2023,,PROD-116,1966,2,16
TRANS-05389,19-10-2023,,PROD-154,8335,6,150
TRANS-05390,19-10-2023,,PROD-132,2173,3,60
TRANS-05391,19-10-2023,,PROD-094,12247,1,40
TRANS-05392,19-10-2023,,PROD-132,2371,1,20
TRANS-05393,19-10-2023,,PROD-003,616,5,400
TRANS-05394,19-10-2023,,PROD-147,3555,2,40
TRANS-05395,20-10-2023,,PROD-095,11931,6,90
TRANS-05396,20-10-2023,,PROD-063,7046,6,240
